loan_status,person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_N,cb_person_default_on_file_Y
0,0.015625,0.0027507829907298617,0.12195121951219512,0.014492753623188404,0.3213483146067417,0.12048192771084339,0.0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0.078125,0.0027507829907298617,0.024390243902439025,0.14492753623188404,0.41853932584269665,0.6867469879518072,0.03571428571428571,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
1,0.046875,0.03020949177319401,0.0975609756097561,0.9999999999999999,0.5511235955056182,0.6385542168674699,0.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
1,0.0625,0.02475704691656875,0.1951219512195122,0.9999999999999999,0.49719101123595516,0.6626506024096387,0.07142857142857142,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
1,0.015625,0.0028981463652332467,0.04878048780487805,0.05797101449275363,0.09662921348314607,0.30120481927710846,0.0,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False
1,0.09375,0.035907542253991585,0.1951219512195122,0.9999999999999999,0.39325842696629226,0.5421686746987953,0.03571428571428571,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0.0625,0.036819230330919196,0.12195121951219512,0.9999999999999999,0.3196629213483147,0.5301204819277109,0.07142857142857142,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1,0.0625,0.03880568861922483,0.1951219512195122,0.9999999999999999,0.19550561797752813,0.5060240963855422,0.0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
1,0.015625,0.002947267490067709,0.14634146341463417,0.0318840579710145,0.5235955056179777,0.1927710843373494,0.03571428571428571,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1,0.03125,0.03978811111591407,0.14634146341463417,0.9999999999999999,0.27808988764044945,0.49397590361445787,0.07142857142857142,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
1,0.015625,0.002947267490067709,0.04878048780487805,0.11594202898550725,0.18033707865168547,0.5421686746987953,0.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
1,0.046875,0.044700223599360246,0.04878048780487805,0.9999999999999999,0.1393258426966293,0.44578313253012053,0.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False
1,0.09375,0.051164563627575425,0.0975609756097561,0.9999999999999999,0.7286516853932588,0.3855421686746988,0.07142857142857142,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
0,0.046875,0.05452444856625261,0.04878048780487805,0.9999999999999999,0.1393258426966293,0.3614457831325301,0.07142857142857142,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
0,0.046875,0.24364077917893057,0.17073170731707318,0.855072463768116,0.29382022471910124,0.07228915662650602,0.03571428571428571,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0.046875,0.0569805048079757,0.0,0.9999999999999999,0.1393258426966293,0.3493975903614458,0.07142857142857142,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
1,0.046875,0.04328111430289265,0.17073170731707318,0.9999999999999999,0.8331460674157305,0.3855421686746988,0.07142857142857142,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
1,0.046875,0.053542026069563375,0.1951219512195122,0.9999999999999999,0.7207865168539327,0.3734939759036145,0.07142857142857142,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0.0625,0.003340236488743403,0.1951219512195122,0.03623188405797101,0.3129213483146068,0.1927710843373494,0.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0.078125,0.07785698286262197,0.04878048780487805,0.9999999999999999,0.11629213483146073,0.26506024096385544,0.07142857142857142,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False
0,0.078125,0.06533109602983421,0.21951219512195122,0.9942028985507246,0.6376404494382024,0.30120481927710846,0.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
1,0.03125,0.029963886149021703,0.0975609756097561,0.9710144927536232,0.6831460674157304,0.6265060240963857,0.07142857142857142,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0.0625,0.0034286545134454348,0.0,0.028985507246376812,0.10505617977528092,0.16867469879518077,0.03571428571428571,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
1,0.03125,0.03733205487419098,0.07317073170731708,0.9695652173913043,0.5123595505617977,0.5060240963855422,0.07142857142857142,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
1,0.0625,0.03131275223697603,0.1951219512195122,0.9420289855072463,0.4078651685393259,0.5903614457831325,0.03571428571428571,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
1,0.015625,0.0034384787384123265,0.07317073170731708,0.1181159420289855,0.6921348314606741,0.5060240963855422,0.03571428571428571,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True
0,0.046875,0.0034384787384123265,0.0,0.02608695652173913,0.21910112359550565,0.15662650602409642,0.03571428571428571,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
1,0.0625,0.029963886149021703,0.14634146341463417,0.927536231884058,0.256741573033708,0.6024096385542169,0.03571428571428571,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
1,0.015625,0.003629559914018383,0.12195121951219512,0.10144927536231883,0.4168539325842698,0.42168674698795183,0.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
1,0.015625,0.003693908587551528,0.12195121951219512,0.043478260869565216,0.32022471910112366,0.20481927710843376,0.03571428571428571,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,0.078125,0.0569805048079757,0.04878048780487805,0.9130434782608695,0.06741573033707865,0.32530120481927716,0.0,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False
1,0.09375,0.044700223599360246,0.17073170731707318,0.8855072463768116,0.49157303370786526,0.3975903614457832,0.03571428571428571,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
0,0.078125,0.14834579700007466,0.04878048780487805,0.6884057971014493,0.47359550561797764,0.0963855421686747,0.03571428571428571,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
0,0.09375,0.14539852951000695,0.24390243902439024,0.21159420289855072,0.4533707865168541,0.03614457831325301,0.07142857142857142,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
1,0.015625,0.003929689986756945,0.12195121951219512,0.05797101449275363,0.11741573033707864,0.2530120481927711,0.07142857142857142,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
1,0.03125,0.021613294927163195,0.024390243902439025,0.855072463768116,0.7286516853932588,0.7590361445783134,0.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
1,0.0625,0.029472674900677082,0.1951219512195122,0.855072463768116,0.5123595505617977,0.5662650602409639,0.03571428571428571,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1,0.078125,0.03487599863246789,0.0975609756097561,0.855072463768116,0.6443820224719103,0.48192771084337355,0.07142857142857142,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1,0.09375,0.028514812966405078,0.14634146341463417,0.855072463768116,0.7061797752808989,0.49397590361445787,0.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1,0.0625,0.003929689986756945,0.0975609756097561,0.05797101449275363,0.4084269662921349,0.2530120481927711,0.03571428571428571,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
0,0.09375,0.14539852951000695,0.24390243902439024,0.5652173913043479,0.13820224719101126,0.08433734939759038,0.07142857142857142,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False
0,0.046875,0.14539852951000695,0.024390243902439025,0.6884057971014493,0.7859550561797755,0.0963855421686747,0.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
0,0.09375,0.14539852951000695,0.21951219512195122,0.2753623188405797,0.2786516853932585,0.03614457831325301,0.07142857142857142,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
0,0.09375,0.14539852951000695,0.0,0.7101449275362319,0.556741573033708,0.0963855421686747,0.03571428571428571,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0.078125,0.14539852951000695,0.21951219512195122,0.5072463768115942,0.6196629213483147,0.07228915662650602,0.03571428571428571,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
1,0.09375,0.03767099063554876,0.1951219512195122,0.855072463768116,0.11629213483146073,0.44578313253012053,0.03571428571428571,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
1,0.03125,0.03060246077186971,0.0975609756097561,0.855072463768116,0.4084269662921349,0.45783132530120485,0.03571428571428571,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
